RBCRWAJ,ROA,REPDTE,ROE,ASSET,STNAME,CERT,NETINC,LNLSNET,LNLSDEPR,DEP,EQTOT,ID
14.224437050095565,0.7454011629238563,20191231,8.74,15808171,NEW YORK,16068,111306.0,10055160,74.67017176465346,13466100,1319475.0,16068_20191231
13.440410979545739,1.2855097933205135,20191231,7.85,15674361,WEST VIRGINIA,803,168959.0,10263543,93.2685531489489,11004291,2572916.0,803_20191231
14.436470710896469,1.204532910410924,20191231,8.24,15666543,CALIFORNIA,26610,185714.0,12236134,97.37569952206371,12565901,2294175.0,26610_20191231
15.318376004035429,2.0851576132209724,20191231,11.68,15015801,ARKANSAS,11241,315426.0,10767588,94.54391877060105,11388980,2755317.0,11241_20191231
12.107208612251148,1.7367867474772734,20191231,10.03,14953260,TEXAS,3076,238253.0,11598031,97.05661821770784,11949758,2588267.0,3076_20191231
18.766989479623476,0.5467257794687918,20191231,5.41,14789845,OHIO,30012,78727.0,13477380,147.54852148003735,9134202,1441015.0,30012_20191231
12.498775073164548,1.5202882187404745,20191231,11.88,14582546,MONTANA,1105,213646.0,8958529,76.80641528040188,11663777,1895512.0,1105_20191231
12.709141509642096,1.5072011895284507,20191231,9.83,14434311,OHIO,6600,214374.0,9157695,89.18007496128065,10268768,2271754.0,6600_20191231
33.733333333333334,1.8804114452505578,20191231,25.6,14289000,NEVADA,33497,268000.0,0,0.0,13257000,1013000.0,33497_20191231
13.255490664375131,1.756011689650887,20191231,24.17,14144676,MISSOURI,57311,258328.0,8857931,69.59935117624842,12727031,1062500.0,57311_20191231
13.289163518771542,1.4747667387877827,20191231,9.32,14071995,WASHINGTON,33826,197779.0,8677215,80.93672540939798,10720986,2156039.0,33826_20191231
15.92611987585826,3.2732451257764037,20191231,24.26,13958152,DELAWARE,27499,451397.0,11107161,215.82762876165083,5146311,1830928.0,27499_20191231
36.043798240890325,1.9737477743578418,20191231,14.56,13858000,CALIFORNIA,25178,286000.0,9687000,85.40821724563568,11342000,1974000.0,25178_20191231
14.64258015001752,1.7583910324128735,20191231,12.33,13673038,MONTANA,30788,225806.0,9457514,87.29239646740217,10834293,2063010.0,30788_20191231
13.071469139375674,1.1372772637863517,20191231,9.2,13495944,MISSISSIPPI,4988,153268.0,9549484,84.79939729678658,11261264,1705788.0,4988_20191231
13.359759343007797,1.3777209442929452,20191231,7.83,13387533,MISSISSIPPI,12437,179246.0,9955748,97.2355438310856,10238795,2302499.0,12437_20191231
12.824492857806147,0.7819118891876018,20191231,6.03,13181399,MASSACHUSETTS,23621,101100.0,9608172,92.23763360561573,10416759,1745694.0,23621_20191231
13.051968276483809,1.287240047609444,20191231,13.49,13105582,MINNESOTA,12923,163579.0,8868887,79.70925568455836,11126546,1287595.0,12923_20191231
15.537134432912895,1.501012241318734,20191231,11.33,12887120,GEORGIA,16889,190506.0,8808948,80.59300848550855,10930164,1814414.0,16889_20191231
12.302323704824559,1.385563195699326,20191231,9.26,12848070,SOUTH DAKOTA,15289,177248.0,9553386,93.99452112695596,10163769,1952427.0,15289_20191231
24.740596141182785,1.3972064770017756,20191231,7.63,12597360,PUERTO RICO,30387,173953.0,8886544,94.63582135264926,9390254,2362183.0,30387_20191231
12.87356758407432,1.577311837176977,20191231,10.94,12430349,INDIANA,4365,175159.0,8388063,84.17808166938696,9964664,1787006.0,4365_20191231
12.553318691372711,1.2722663217416228,20191231,9.57,12304722,WASHINGTON,28489,149353.0,9226443,93.74845872679937,9841701,1657001.0,28489_20191231
14.009965081811467,1.2673892607169506,20191231,8.64,12223127,DELAWARE,17838,141786.0,8508336,88.02805695566967,9665482,1908861.0,17838_20191231
14.580471795268979,1.1832802774746294,20191231,8.74,11947775,VIRGINIA,35095,138782.0,8780399,94.09758462048086,9331163,1653694.0,35095_20191231
13.82893090276433,1.4679872414406767,20191231,7.99,11778052,CALIFORNIA,32172,171576.0,8688285,97.32817821584975,8926793,2217903.0,32172_20191231
13.510873109209134,1.1804194704156716,20191231,8.86,11628782,MASSACHUSETTS,32773,135432.0,8899224,92.9669877824458,9572456,1594025.0,32773_20191231
12.248897450632697,1.7817876602329579,20191231,18.71,11550782,CALIFORNIA,35546,188720.0,10122424,99.73447620853032,10149373,1064251.0,35546_20191231
12.932499151464405,0.7671974422902175,20191231,7.59,11511729,PENNSYLVANIA,34444,83434.0,9994694,114.7049210204609,8713396,1178166.0,34444_20191231
